score genuine_cdf impostor_cdf
3.1943610142 0.0306122449 0.5250000000
3.1947402982 0.0306122449 0.5261363636
3.2346362396 0.0306122449 0.5272727273
3.2575890697 0.0306122449 0.5284090909
3.2839746418 0.0306122449 0.5295454545
3.3079104622 0.0306122449 0.5306818182
3.3240428864 0.0306122449 0.5318181818
3.3419749966 0.0306122449 0.5329545455
3.3564003275 0.0306122449 0.5340909091
3.3907036569 0.0326530612 0.5340909091
3.3990789340 0.0326530612 0.5352272727
3.4777514426 0.0326530612 0.5363636364
3.4897006372 0.0326530612 0.5375000000
3.5113496704 0.0326530612 0.5386363636
3.5171765863 0.0326530612 0.5397727273
3.5205913936 0.0326530612 0.5409090909
3.5267329748 0.0326530612 0.5420454545
3.6105024359 0.0326530612 0.5431818182
3.6134487559 0.0326530612 0.5443181818
3.6183299765 0.0326530612 0.5454545455
3.6291290456 0.0326530612 0.5465909091
3.6430949053 0.0326530612 0.5477272727
3.6437348950 0.0326530612 0.5488636364
3.6679932510 0.0326530612 0.5500000000
3.6791766636 0.0326530612 0.5511363636
3.6843488501 0.0346938776 0.5511363636
3.7114594810 0.0346938776 0.5522727273
3.7338469711 0.0346938776 0.5534090909
3.7402115949 0.0346938776 0.5545454545
3.7499562703 0.0346938776 0.5556818182
3.7739163062 0.0346938776 0.5568181818
3.7799283530 0.0367346939 0.5568181818
3.7885275730 0.0387755102 0.5568181818
3.7904237164 0.0387755102 0.5579545455
3.7949516821 0.0387755102 0.5590909091
3.8021455689 0.0387755102 0.5602272727
3.8037608225 0.0387755102 0.5613636364
3.8070045175 0.0387755102 0.5625000000
3.8141216926 0.0387755102 0.5636363636
3.8613616878 0.0387755102 0.5647727273
3.8636576914 0.0408163265 0.5647727273
3.8660853393 0.0428571429 0.5647727273
3.8698140936 0.0428571429 0.5659090909
3.8970958293 0.0428571429 0.5670454545
3.9083400729 0.0428571429 0.5681818182
3.9188104782 0.0428571429 0.5693181818
3.9537389344 0.0428571429 0.5704545455
3.9956487385 0.0448979592 0.5704545455
4.0014449002 0.0448979592 0.5715909091
4.0294764573 0.0448979592 0.5727272727
4.1041381277 0.0448979592 0.5738636364
4.1105508571 0.0448979592 0.5750000000
4.1162555169 0.0448979592 0.5761363636
4.1377723066 0.0448979592 0.5772727273
4.1926783453 0.0448979592 0.5784090909
4.2102669697 0.0448979592 0.5795454545
4.2156116534 0.0448979592 0.5806818182
4.2243984406 0.0448979592 0.5818181818
4.2308659674 0.0448979592 0.5829545455
4.2783838564 0.0448979592 0.5840909091
4.2839986462 0.0469387755 0.5840909091
4.2860183201 0.0469387755 0.5852272727
4.3458858869 0.0469387755 0.5863636364
4.3685652114 0.0489795918 0.5863636364
4.4029404648 0.0489795918 0.5875000000
4.4243650136 0.0489795918 0.5886363636
4.4306110141 0.0510204082 0.5886363636
4.4347485092 0.0510204082 0.5897727273
4.4397970470 0.0510204082 0.5909090909
4.4429022482 0.0510204082 0.5920454545
