T1 FAR1 FRR1 T2 FAR2 FRR2
-0.22606303 0.99977348 0.00000000 -0.31225613 0.99996205 0.00000000
-0.22491246 0.99976686 0.00000000 -0.31075538 0.99996070 0.00000000
-0.22376188 0.99976006 0.00000000 -0.30925463 0.99995931 0.00000000
-0.22261131 0.99975308 0.00000000 -0.30775388 0.99995787 0.00000000
-0.22146073 0.99974591 0.00000000 -0.30625313 0.99995639 0.00000000
-0.22031016 0.99973854 0.00000000 -0.30475238 0.99995485 0.00000000
-0.21915958 0.99973098 0.00000000 -0.30325163 0.99995327 0.00000000
-0.21800900 0.99972321 0.00000000 -0.30175088 0.99995163 0.00000000
-0.21685843 0.99971523 0.00000000 -0.30025013 0.99994994 0.00000000
-0.21570785 0.99970704 0.00000000 -0.29874937 0.99994819 0.00000000
-0.21455728 0.99969863 0.00000000 -0.29724862 0.99994638 0.00000000
-0.21340670 0.99969000 0.00000000 -0.29574787 0.99994452 0.00000000
-0.21225613 0.99968114 0.00000000 -0.29424712 0.99994259 0.00000000
-0.21110555 0.99967204 0.00000000 -0.29274637 0.99994060 0.00000000
-0.20995498 0.99966270 0.00000000 -0.29124562 0.99993855 0.00000000
-0.20880440 0.99965311 0.00000000 -0.28974487 0.99993643 0.00000000
-0.20765383 0.99964328 0.00000000 -0.28824412 0.99993424 0.00000000
-0.20650325 0.99963318 0.00000000 -0.28674337 0.99993197 0.00000000
-0.20535268 0.99962282 0.00000000 -0.28524262 0.99992964 0.00000000
-0.20420210 0.99961218 0.00000000 -0.28374187 0.99992723 0.00000000
-0.20305153 0.99960127 0.00000000 -0.28224112 0.99992475 0.00000000
-0.20190095 0.99959008 0.00000000 -0.28074037 0.99992218 0.00000000
-0.20075038 0.99957859 0.00000000 -0.27923962 0.99991953 0.00000000
-0.19959980 0.99956681 0.00000000 -0.27773887 0.99991680 0.00000000
-0.19844922 0.99955472 0.00000000 -0.27623812 0.99991398 0.00000000
-0.19729865 0.99954232 0.00000000 -0.27473737 0.99991107 0.00000000
-0.19614807 0.99952959 0.00000000 -0.27323662 0.99990806 0.00000000
-0.19499750 0.99951655 0.00000000 -0.27173587 0.99990497 0.00000000
-0.19384692 0.99950316 0.00000000 -0.27023512 0.99990177 0.00000000
-0.19269635 0.99948944 0.00000000 -0.26873437 0.99989847 0.00000000
-0.19154577 0.99947537 0.00000000 -0.26723362 0.99989507 0.00000000
-0.19039520 0.99946093 0.00000000 -0.26573287 0.99989157 0.00000000
-0.18924462 0.99944613 0.00000000 -0.26423212 0.99988795 0.00000000
-0.18809405 0.99943096 0.00000000 -0.26273137 0.99988422 0.00000000
-0.18694347 0.99941540 0.00000000 -0.26123062 0.99988038 0.00000000
-0.18579290 0.99939945 0.00000000 -0.25972986 0.99987641 0.00000000
-0.18464232 0.99938310 0.00000000 -0.25822911 0.99987232 0.00000000
-0.18349175 0.99936634 0.00000000 -0.25672836 0.99986811 0.00000000
-0.18234117 0.99934916 0.00000000 -0.25522761 0.99986376 0.00000000
